instruction,output,input
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Немецкая VNG согласилась платить за газ через Газпромбанк
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Немецкая Uniper отклонила требование «Газпрома» о форс-мажоре
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Не газировно то же самое // В PepsiCo думают о спецнапитках для России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Налоги выводят на биржу // Отрасль обсуждает расчет НДПИ через индекс СПбМТСБ
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,На Маска подали в суд из-за задержки с раскрытием покупки доли в Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,На Магнитогорском меткомбинате сообщили о проблемах из-за санкций
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,НПЗ заливает мазутом // ЛУКОЙЛ видит риски остановки заводов из-за избытка нефтепродуктов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,НОВАТЭКу разрешили сохранить депозитарные расписки за рубежом
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,НОВАТЭК заявил о проблемах с навигацией на Севморпути из-за санкций
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,НОВАТЭК заявил о готовности возобновить поставки в Польше
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"Мосбиржа переведет акции ""Селигдара"" на первый уровень листинга"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Михельсон заявил об отсутствии проблем с запчастями для самолетов НОВАТЭК
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Михельсон заявил о сотрудничестве с «Газпромом» по «моржам и медведям»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,Минцифры и VK анонсировали запуск магазина приложений RuStore
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,"Минфин сообщил о планах докапитализации ГПБ, РЖД и «Аэрофлота» из ФНБ"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Минфин предложил повысить НДПИ для «Газпрома» на 416 млрд руб.
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Минфин поддержал идею «Газпрома» продавать СПГ за рубли
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Минфин допустил возобновление покупки алмазов у АЛРОСА
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,Минтранс назвал Ту-214 претендентом на базовый самолет «Аэрофлота»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,"Минпромторг разрешил параллельный импорт Apple, Bentley и PlayStation"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Минобороны обвинило Pfizer и Moderna в военных исследованиях на Украине
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,"Медведев счел, что Twitter не станет «снова демократичным» при Маске"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,"Маск, Рубини и Goldman Sachs предупредили о риске рецессии в США"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Маск сообщил в Twitter о приостановке сделки по покупке Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Маск проверит 100 случайных аккаунтов в Twitter на подлинность
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Маск предложил разблокировать Трампа в Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Маск предложил дать галочку верификации купившим подписку Twitter Blue
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Маск предложил выкупить все акции Twitter и сделать компанию частной
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Маск предложил выкупить Twitter за $41 млрд и сделать компанию частной
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Маск подал встречный иск к Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Маск отказался покупать Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Маск ответил на «отравленную пилюлю» Twitter словами Love Me Tender
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Маск обвинил Twitter в сокрытии от него данных о фейковых аккаунтах
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Маск не исключил введения в Twitter платы для коммерческих пользователей
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Маск купил Twitter за $44 млрд
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Маск исключил покупку Twitter до получения отчета о числе страниц-фейков
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,Маск заявил сотрудникам Twitter о необходимости «оздоровления» компании
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Маск допустил введение в Twitter платы для бизнеса и госаккаунтов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Макс не исключил введения в Twitter платы для коммерческих пользователей
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Магнитогорцы не успели за «Трактором» // Клуб из Челябинска сравнял счет в полуфинале Кубка Гагарина
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Магнит: Операционные результаты (2К22)
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Магазины оценили объем запасов техники Apple и Samsung
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,МТС смотрит ivi // Оператор хочет купить еще один видеосервис
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,МТС произвела назначения в топ-менеджменте
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,МТС провела крупную закупку телеком-оборудования в первом квартале
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,МТС провела крупную закупку телеком оборудования в первом квартале
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,МТС обслужит по лицу // Оператор запустил свой биометрический сервис
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,МТС купила контроль в провайдере охранных систем «Гольфстрим» за ₽2 млрд
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,МТС и «Яндекс» не увидели проблем в работе суперкомпьютеров из-за Nvidia
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,МТС запустил продажу б/у смартфонов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,"МИД внес в «стоп-лист» министров США, глав Universal Pictures и Netflix"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,МИД внес в «стоп-лист» министров США и глав Universal Pictures и Netflix
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Льготам СПИК 1.0 продлевают срок // Регионы смогут рискнуть налогами ради инвесторов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,"Лисин заявил, что расчет в рублях выбросит НЛМК с зарубежных рынков"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,ЛУКОЙЛ увидел риск остановки НПЗ из-за избытка мазута в хранилищах
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,ЛУКОЙЛ решил развивать сеть заправок Shell под финским брендом Teboil
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,ЛУКОЙЛ прирастает заправками // Компания вскоре начнет поставку топлива на АЗС Shell
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,ЛУКОЙЛ предложил Новаку способ избежать риска остановки НПЗ
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,ЛУКОЙЛ определился с врио президента вместо Алекперова
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,ЛУКОЙЛ купит у Shell «дочку» и сеть АЗС в России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,ЛУКОЙЛ закрыл сделку по покупке «дочки» Shell
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,ЛУКОЙЛ ждет смену // Основатель компании Вагит Алекперов покинул пост
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Кремль назвал неприемлемой идею о национализации «дочек» «Газпрома»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Компания Hershey предупредила о дефиците шоколада и конфет на Хэллоуин
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Квартальная прибыль Apple упала почти на 12%
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Карты позвали к телефону // Банк России ищет замену ApplePay и GooglePay
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Канцлер Австрии предупредил Путина о риске потери «Газпромом» ПХГ
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Канада решила не нагнетать // «Газпром» снизил поставки в Европу из-за неисправного оборудования
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Канада пригрела «Газпром» // Страна временно вывела из-под санкций агрегаты для «Северного потока»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Канада перекрыла «Северный поток» // «Газпром» снизил поставки в Европу из-за неисправного оборудования
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Как эксперты восприняли намерение Илона Маска купить Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Как БАМ такая концессия // Газпромбанк и «БТС-Мост» хотят взять на себя расширение Восточного полигона
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Истина в руде // «Роснефть» предложила ввести потолок цены на металл для внутреннего рынка
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Инвесторы выбирают реальный сектор // МТС-банк перенес размещение бондов
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Илон Маск решил не входить в совет директоров Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Илон Маск подал встречный иск к Twitter
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Из офиса российского TikTok украли технику Apple на сумму более 1 млн руб
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Золоту не хватает самосвалов // Polymetal отчитался о влиянии санкций на бизнес
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Зеленский упрекнул премьера Канады за возвращение турбины «Газпрому»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Зеленский счел опасной уступкой решение Канады по турбине для «Газпрома»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,"Запасай, или потеряешь // Австрия принуждает «Газпром» заполнять газовые хранилища"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Замглавы «Аэрофлота» приговорили к семи годам за мошенничество
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Закрыто на ресторацию // Ритейлеры Apple в России оптимизируют розницу
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Журналист Economist удалил сообщение о прекращении работы IBM в России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Европе не до связи // Госоператоры не смогут использовать оборудование Ericsson и Nokia
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Еврокомиссия увидела шантаж в заявлении «Газпрома» об остановке поставок
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно позитивно,ЕС разрешит «Роснефти» и «Газпром нефти» перевозить нефть в третьи страны
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Достояние рассталось с состоянием // «Газпром» поделился прибылью только с одним акционером
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо позитивно,Доля государства в «Аэрофлоте» превысит 73%
